city,cloudiness,country,date,humidity,lat,lng,max temp,wind speed
Tautira,40,PF,1553633248,62,-17.73,-149.15,31.0,1.5
Butaritari,48,KI,1553633386,100,3.07,172.79,28.54,7.26
Arraial do Cabo,20,BR,1553630400,61,-22.97,-42.02,28.0,6.2
Torbay,90,CA,1553633385,58,47.66,-52.73,-2.22,5.7
Ushuaia,75,AR,1553630400,62,-54.81,-68.31,12.0,3.1
Tiksi,0,RU,1553633387,29,71.64,128.87,-29.07,1.26
Longyearbyen,40,NO,1553629800,67,78.22,15.63,-7.0,4.1
Rikitea,12,PF,1553633316,97,-23.12,-134.97,26.94,6.01
Hualmay,0,PE,1553633292,66,-11.1,-77.61,23.99,2.11
Kununurra,0,AU,1553630400,88,-15.77,128.74,26.0,1.31
Busselton,0,AU,1553633192,46,-33.64,115.35,13.33,6.56
Mataura,44,NZ,1553632808,92,-46.19,168.86,11.67,5.36
Kaeo,76,NZ,1553633389,64,-35.1,173.78,21.44,5.36
Sorland,90,NO,1553631600,86,67.67,12.69,-1.0,6.7
Hilo,90,US,1553633357,73,19.71,-155.08,25.0,3.1
Urubicha,80,BO,1553633390,66,-15.63,-63.08,29.84,1.66
Albany,1,US,1553633377,17,42.65,-73.75,7.22,7.2
Chuy,88,UY,1553633391,91,-33.69,-53.46,18.69,7.26
Port Elizabeth,1,US,1553633378,18,39.31,-74.98,10.0,6.2
Jamestown,0,AU,1553633392,80,-33.21,138.6,6.04,2.46
Hofn,0,IS,1553633578,92,64.25,-15.21,4.64,5.91
Sinnamary,88,GF,1553633578,91,5.38,-52.96,27.19,4.81
Portland,20,US,1553633286,41,45.52,-122.67,15.56,1.5
Port Alfred,56,ZA,1553633579,87,-33.59,26.89,19.29,3.26
Vaini,20,IN,1553633579,93,15.34,74.49,21.44,0.76
Gat,0,SN,1553632200,64,14.69,-16.54,21.0,6.7
Mount Gambier,90,AU,1553630400,100,-37.83,140.78,11.0,2.1
Hithadhoo,80,MV,1553633655,100,-0.6,73.08,28.74,2.06
Nzerekore,24,GN,1553633655,76,7.76,-8.82,25.94,1.36
Codrington,90,AU,1553633409,88,-28.95,153.24,23.0,1.5
Mahina,0,ML,1553633656,36,13.76,-10.85,30.34,4.31
Qaanaaq,0,GL,1553633656,72,77.48,-69.36,-24.22,4.36
Nuuk,20,GL,1553629800,38,64.17,-51.74,-5.0,3.6
Castro,0,CL,1553630400,37,-42.48,-73.76,22.0,3.6
Rabo de Peixe,20,PT,1553633634,76,37.8,-25.58,14.0,4.1
Puerto Ayora,40,EC,1553633107,78,-0.74,-90.35,28.0,4.6
Mar del Plata,0,AR,1553633659,40,-46.43,-67.52,22.59,2.81
Atuona,44,PF,1553633659,100,-9.8,-139.03,27.79,5.86
Marsh Harbour,24,BS,1553633428,98,26.54,-77.06,25.24,4.11
Tuatapere,56,NZ,1553633405,93,-46.13,167.69,12.22,5.36
